Landmark Latitude,Landmark Longitude,Distance,Landmark Name,Property Type
13.0316253,77.6357141,1.8401720350507453,Reliance Fresh,grocery
13.0326202,77.6367113,1.8116690469659447,Indian Oil,fuel
13.0306094,77.6349359,1.8943276879998134,Shoba,grocery
13.0298925,77.6347682,1.9562872195735845,Smart,grocery
13.0425174,77.614002,1.399635743333133,Hotel Garden,food service
13.0483112,77.6342169,0.886209621134462,Swamy Vivekananda Primary and High School,education
13.0481957,77.6381656,1.2930364180754037,Masjid Al-Salf Al-Salah,place of worship
13.0557708,77.6327504,1.320242968341067,Manasa Public School,education
13.0604817,77.6251237,1.6669692107676866,Srujan Play Home,education
13.0384174,77.6387738,1.5445772349317688,United Public School,education
13.0505862,77.6494896,2.5480816452566497,Blessing Worship Center,place of worship
13.0568431,77.6476683,2.6102262996400745,Kothanur CSI Church,place of worship
13.0645088,77.6561782,3.8403799318365195,Sri Gavreyanna Sidheshwara Swamy Temple,place of worship
13.0556804,77.6497128,2.7510299041608404,,place of worship
13.038559,77.6472476,2.374105263601776,Bethel Assembly of God Church,place of worship
13.0375654,77.6396626,1.6761566522414895,,place of worship
13.0374407,77.6434734,2.04408958557656,Shalom A.G. Prarthanalaya,place of worship
13.0371969,77.6427683,1.9883626060811381,Yuvalok School,education
13.032254,77.6438151,2.385114161205062,Rays of Peace,place of worship
13.0317498,77.6437784,2.417205703453775,Sinclairs High School,education
13.0248848,77.6458889,3.1105044765054157,Peniel Presbyterian Church,place of worship
13.0232515,77.6467632,3.30893692577383,Sri Shakti Vinayaka Temple,place of worship
13.0254302,77.6417703,2.7800942412333796,State Bank of India,financial
13.0250166,77.6435019,2.9310402586734106,Vinus Play Home and Day Care,education
13.0259923,77.6405519,2.652361448564287,Ginger Greens,food service
13.0313492,77.6355039,1.8540604013939253,Canara Bank,financial
13.0325981,77.6393271,1.9984730935977704,Temple,place of worship
13.0271598,77.6323889,2.1412011209828066,,financial
13.0263233,77.6319846,2.218178363795682,Fresh Supermarket,grocery
13.0231284,77.6362241,2.7052622727558266,Cafe Coffee Day,cafe
13.0233653,77.636232,2.681335317549047,Orkids,education
13.0238997,77.6349809,2.5755902139435394,Little Elly,education
13.0242154,77.6356384,2.569272728000714,Smiley Kids,education
13.0268228,77.6329007,2.1937993865202134,Florida College of Management and Computer Science,education
13.0269256,77.6329391,2.1842661600271738,Florida College of Education,education
13.0271338,77.6330115,2.1648509033226615,Florence College of Physiotherapy,education
13.0261391,77.6362268,2.4003170450540003,Pizza Hut,food service
13.0245569,77.6369992,2.5951288766874363,Foodworld Supermarket,grocery
13.0247406,77.6369933,2.5764859656601504,ICICI Bank,financial
13.0248088,77.6369908,2.5695568141056415,Style Spa,home furnishing
13.0224361,77.6308334,2.612311419476061,Shemrock Bright,education
13.0217371,77.6370282,2.8817133486135784,Syndicate Bank,financial
13.019526,77.6367557,3.0985119274884516,Sansar Collections,clothes
13.0196337,77.6342441,3.0005786008904405,Small World,education
13.0203163,77.6325425,2.8806307108850753,India Evangelical Church,place of worship
13.0194729,77.6312833,2.945237622527914,Sri Durgadevi Temple,place of worship
13.0194682,77.6332105,2.9892397520461182,Thambis's Inetcafé,cafe
13.0201083,77.6304232,2.860517687830554,,place of worship
13.017623,77.6341168,3.2123892441256134,Orchid Academy,education
13.028839,77.6349071,2.0678104762311516,Cafe Moksh,cafe
13.0493097,77.5928667,3.6715714004026396,Canara Bank,financial
13.0281528,77.6315502,2.0095757599826856,Masjid-e-Yusuf,place of worship
13.0255258,77.6524721,3.5847925214470906,Gethseman Sungji Church,place of worship
13.0224257,77.6508337,3.679589938573821,More,grocery
13.0218507,77.6501901,3.67562854573906,Karnataka Bank,financial
13.0372267,77.6421374,1.9266118779420784,St Marys Syrian Knanaya Church,place of worship
13.0210003,77.6401088,3.100738256117027,Bethel Brethren Assembly,place of worship
13.0032767,77.6229524,4.717069219931087,,place of worship
13.0249229,77.5928698,4.309021940219794,UCO Bank,financial
13.0256109,77.5931302,4.244701312985377,Levi's,clothes
13.0259675,77.5932154,4.21621321912013,RT Nagar Public Library,education
13.0248113,77.5934442,4.263179433951493,Vijaya Bank,financial
13.0254978,77.5931058,4.253536307693972,Andhra Bank,financial
13.0260757,77.5932346,4.208226858480885,Reebok,clothes
13.0273116,77.5934753,4.116456930421814,Kabab Manor,food service
13.0249491,77.5926439,4.328213760223771,Citibank,financial
13.0068553,77.6241647,4.310792698932619,Mini Bazaar,grocery
13.0037348,77.6228739,4.667022196010258,Auto Stand,transportation
13.003599,77.6225091,4.685586607786206,Food Magic,food service
13.0374987,77.6524104,2.9420167745878816,Temple,place of worship
13.0228247,77.6477855,3.418214278432864,Little Imperial,food service
13.0668449,77.6093403,3.0126796123130237,,financial
13.0592352,77.5939566,3.8434934002769015,Green Country Public School,education
