id,name,latitude,longitude,Property Type
314705276,Sukh Sagar,12.9741824,77.5753745,food service
317119985,Adyar Ananda Bhavan,12.9543746,77.5930172,food service
423747691,Konārk,12.9688559,77.6020522,food service
428457212,Old Madras Baking Company,12.9697383,77.6003775,cafe
429833271,Mavalli Tiffin Rooms,12.9550389,77.5854279,food service
429876582,Hyderbad Biryani House,12.9665538,77.6141032,food service
452413205,Temple Ruins,12.9700819,77.5890809,place of worship
456214138,State Bank of India,12.9727199,77.5805523,financial
456214157,Bank of India,12.9738444,77.578582,financial
456214158,Indian Bank,12.973729,77.578957,financial
456214159,Adigas,12.9736365,77.5791669,food service
459811954,Sacred Hearts Girls School,12.9694218,77.6033897,education
517874448,Rajasthani Parotha Point,12.9514719,77.5774905,food service
517874452,Arya Vysya Refreshments,12.9510029,77.5776381,food service
517874468,Canara Bank,12.9532525,77.57754,financial
594206377,Indian Oil,12.9571863,77.5862334,fuel
595411386,The Only Place,12.9732771,77.6034167,food service
597363559,Mishra Pedha,12.9678501,77.5927753,food service
638168606,Shiro,12.971852,77.5964092,food service
644420166,Sandhya Sagar,12.9600242,77.6015444,food service
646739373,Utsav,12.9601639,77.5945806,food service
661983020,Juice Junction,12.9720317,77.6009309,cafe
663317713,Canara Bank,12.9681567,77.5876645,financial
663317714,State Bank of India,12.9681499,77.5880527,financial
663317758,Nisarga,12.9704007,77.5874248,food service
663484885,Auto Stand,12.9711546,77.5869902,transportation
663568572,Cafe Coffee Day,12.9717817,77.5942306,cafe
663573128,Ganapathi & Gayatri Temple,12.9732457,77.5952706,place of worship
663573129,HDFC Bank,12.9733673,77.5954916,financial
663599408,Karnataka Bank,12.9686616,77.5875127,financial
663599410,Corporation Bank,12.9723026,77.5863596,financial
663604703,Kalikamba Temple,12.9495122,77.6128103,place of worship
663604708,Shiva Temple,12.9500299,77.6132833,place of worship
663604709,Government School,12.9496275,77.6139658,education
663604710,Methodist church school,12.9497624,77.6143357,education
663604714,Adithya public school,12.9499206,77.6151518,education
663604715,Church statue,12.9494647,77.6154126,place of worship
663604721,temple,12.9503747,77.6159015,place of worship
663604722,St merry statue,12.9505235,77.6162762,place of worship
663604724,Church statue,12.9502096,77.6166557,place of worship
665871268,Chatpat,12.9671651,77.580199,food service
665871269,Cane Crush,12.9697027,77.5796625,cafe
665871272,Sri Vinayaka Juice & Chats Center,12.9742892,77.5778952,cafe
665871273,Hotel Madhuvan,12.9703805,77.5800395,food service
665871277,State Bank of India,12.9733292,77.5824593,financial
677286826,Coffee Day,12.9736525,77.5801953,cafe
677286839,ICICI Bank,12.9706824,77.599609,financial
677286841,Bank of India,12.9708631,77.6010396,financial
677286843,Amruth Vegetarian Restaurant,12.9711937,77.6007788,food service
683352653,Citibank,12.9484631,77.5798653,financial
683352691,Sri Kailaseshwara Temple,12.9709419,77.5735425,place of worship
683352694,Fresh Cane,12.9734503,77.5751186,cafe
1060580206,Super talkies,12.9677686,77.569887,cinema
1061343614,Richmond Town Mosque,12.9657768,77.6054478,place of worship
1065137172,INOX Garuda Mall,12.9698334,77.6098091,cinema
1067841657,Subway,12.9729051,77.6074026,food service
1121420612,Foody's,12.9578638,77.5932147,food service
1129098580,Olive Beach,12.966942,77.60796,food service
1323652934,Bangalore Institute of Technology,12.9551259,77.5741985,education
1323663813,Kempegowda Institute of Medical Sciences,12.9564316,77.5741194,education
1323663819,VV Puram College of Arts and Commerce,12.9541058,77.5741524,education
1437223285,Indian Medical Association,12.9599222,77.5728426,education
1448814112,Fanoos Hotel,12.9645047,77.6065319,food service
1473945518,SLV Delite,12.9480672,77.5682863,food service
1473999150,Pecos,12.973736,77.6072937,bar/club
1473999153,McDonald's,12.9733561,77.6074951,food service
1474001856,Purple Haze,12.9729633,77.6086054,food service
1474001857,ICICI Bank,12.973051,77.6110437,financial
1474007535,American Express bank,12.9638583,77.5961698,financial
1474512610,Bhagini Hotel,12.9494002,77.5926204,food service
1492519140,Paramount Restaurant,12.971167,77.605779,food service
1492519159,State Bank of India,12.9731342,77.6028884,financial
1536592060,Corner House,12.972851,77.5999908,cafe
1536592062,Airlines,12.9727309,77.5997185,food service
1577582017,Kamat,12.9643003,77.5866127,food service
1603318780,Corporation Bank,12.9481696,77.5986927,financial
1603318781,Karnataka Bank,12.9488718,77.5977625,financial
1617398428,Brahmin's Coffee Bar,12.9539396,77.5688104,food service
1617398461,Kamat Minerva,12.9554704,77.5801737,food service
1652785557,V T Paradise,12.9655419,77.5898511,food service
1652785558,Mahabaleshwar Temple,12.962625,77.5899443,place of worship
1666861677,Bank of Baroda,12.9668886,77.5993311,financial
1675540997,Mavalli Tiffin Rooms,12.97219,77.6008361,food service
1684631607,Anaga Parmeshwari temple,12.9501262,77.6186016,place of worship
1739362359,Pai Vihar,12.9658764,77.5860284,food service
1770390302,Palm Grove,12.9715903,77.6084985,food service
1770459093,Sangam,12.9718928,77.6065672,food service
1782116875,S.L.V Hotel,12.9577755,77.5694742,food service
1782119984,Anjaneya Temple,12.9602965,77.5723764,place of worship
1791576981,BBUL Jain Vidyalaya,12.9540088,77.5724909,education
1791591267,Corporation Bank,12.9544584,77.5733572,financial
1791592717,Bank of Maharashtra,12.9484672,77.5716218,financial
1791886696,State Bank of India,12.9573769,77.5717084,financial
1791944697,Mariswamy Mutt,12.9587388,77.5789933,place of worship
1791962125,Nandini,12.9552387,77.5790523,food service
1791962421,Sri Shanidevara Temple,12.9526875,77.5767885,place of worship
1791971124,Satyanarayana Temple,12.952102,77.5763325,place of worship
1791982458,Karnataka Bank,12.9544493,77.5699435,financial
1792713585,State Bank of India,12.9493264,77.5679362,financial
1796636345,Karnatka Rajya Kaigarika Sahakari Bank,12.9500847,77.5679508,financial
1806960813,HDFC Bank,12.9725777,77.5702074,financial
1806961438,Union Bank of India,12.9723215,77.5703735,financial
1806963001,Corporation Bank,12.9712811,77.5701053,financial
1806963934,Anjaneya - Hanuman Temple,12.9715582,77.5704057,place of worship
1806966554,Shree Krishna Auto Gas,12.9672844,77.57,fuel
1806971412,Canara Bank,12.95954,77.5685551,financial
1809842716,F & B,12.9713119,77.5997267,food service
1809856714,Swagath ShankarNag Chitramandira,12.9744138,77.6095784,cinema
1835304318,The Biere Club,12.9709587,77.5975559,bar/club
1843616701,Adi Shakti Chikka Annamma Temple,12.9608365,77.5701609,place of worship
1843617173,Lakshmi Satyanarana Temple,12.9614011,77.5698739,place of worship
1843617409,Anjaneya Temple,12.9617331,77.5700133,place of worship
1851612837,Toscano,12.9717891,77.5962374,food service
1851613304,Rasovara,12.97181,77.5961248,food service
1851613308,Tasty Tangles,12.9719198,77.5961248,food service
1851613420,Cafe Noir,12.9718741,77.5958619,food service
