id,name,latitude,longitude,Property Type
444454814,Mysore City Bus Stand,12.3079885,76.653633,transportation
465192999,Ramakrishna Vidyashala,12.3272782,76.6366858,education
465195463,Nirmala Convent,12.3286366,76.6299481,education
540647812,Cafe Coffee Day,12.3097363,76.6446,cafe
540651230,ICICI Bank (Main Branch),12.3063337,76.6451531,financial
541317102,Karnataka State Open University,12.315382,76.6236231,education
541329955,Papa John's,12.3078743,76.659847,food service
601688264,Sandesh The Prince,12.309104,76.6623707,food service
992742255,Private Bus Stand,12.3187256,76.6482804,transportation
1153301848,Pai Vista,12.310994,76.6593118,food service
1153301916,RRR Hotel,12.3110944,76.6550151,food service
1153302101,Indra Cafe's Paras,12.3100755,76.6528438,food service
1153302109,St. Bartholemew's Church,12.3110232,76.6581937,place of worship
1153369413,Arun Darshan,12.3104659,76.6578166,food service
1153369419,Lakshmiramana Temple,12.3048676,76.6530862,place of worship
1153369452,Aravind Service Station,12.3111204,76.6447296,fuel
1153369464,Hotel Zameera,12.3100962,76.6566137,food service
1153369580,State Bank of India,12.3139028,76.6563078,financial
1153369633,Hotel Iyengar's,12.3103638,76.6577443,food service
1153369741,Hotel Santosh,12.3104513,76.6579302,food service
1363241810,Ganesh Petrol Bunk,12.3128495,76.6474754,fuel
1363241811,Vijaya Petrol Bunk,12.3124681,76.647261,fuel
1450352851,Om Shanti,12.3085469,76.6603582,food service
1637364494,Ideal Jawa Rotary High School,12.3131217,76.6433369,education
1637364904,Railway Taxi Service,12.3163895,76.6458903,transportation
1637365364,HP,12.313106,76.6446565,fuel
1638029068,Nandi Petrol Bunk,12.3157475,76.6325276,fuel
1638033405,Corner House,12.3228072,76.6349681,cafe
1638069835,Domino's,12.3102018,76.6560214,food service
1638073734,Parklane Hotel,12.3086497,76.6583683,food service
1645770927,Pelican Pub,12.3178359,76.6251578,bar/club
1654526686,HDFC Bank,12.3251209,76.6317018,financial
1654526763,Axis Bank,12.3245733,76.6312404,financial
1654527186,Pizza Hut,12.3233522,76.629961,food service
1658623511,Jal Paan,12.3045108,76.6437878,food service
1658623688,Maharaja,12.3047676,76.6438602,food service
1670004166,Corporation Bank ATM,12.3093689,76.6561671,financial
1798113999,The Downtown,12.3237475,76.625937,food service
1798325781,The Quorum,12.3121835,76.6405428,food service
1798352448,Domino's,12.3231202,76.6302866,food service
1798354683,The 6th main,12.3253282,76.6282116,food service
1798356394,High way,12.3251248,76.6286932,food service
1798362543,Cafe Pascucci,12.3209763,76.6306547,cafe
1798368365,Green Leaf,12.3240662,76.6261934,food service
1798368921,Lemon tree,12.3238042,76.6279504,food service
1798369492,Empire,12.3238854,76.6277921,food service
1798916093,Mezzaluna Restaurant,12.3239931,76.6280108,food service
1798917329,Petrol Bunk,12.3232486,76.6356858,fuel
2006120274,KFC,12.3088241,76.6539235,food service
2006120772,PVR Cinemas,12.308822,76.6540163,cinema
2006133431,Embassy,12.3049803,76.6438454,bar/club
2039565038,Nalapaak,12.3101549,76.6464063,food service
2039568210,Hotel Sringar,12.3104405,76.6464143,food service
2041319026,Chandramoulishwara Temple,12.3225663,76.6290267,place of worship
2041861215,Rajabhavan Hotel,12.3067174,76.651169,food service
2041908458,Sri Ramakrishna Ashrama,12.323934,76.6347378,place of worship
2041909542,Nalapak,12.327841,76.6313797,food service
