Landmark Latitude,Landmark Longitude,Distance,Landmark Name,Amenity Type (grouped),Shop Type (grouped),Tourism Type (grouped),Building Type (grouped),Property Type
12.3110701,76.6593011,4.342753692952816,Pai Vista,,,lodging,,lodging
12.3079885,76.653633,3.871430381312638,Mysore City Bus Stand,transportation,,,,transportation
12.3342845,76.6297013,1.7293697200614895,Mysore West Lions Sevanikethan School,education,,,,education
12.3272782,76.6366858,1.8491367095246418,Ramakrishna Vidyashala,education,,,,education
12.3286366,76.6299481,1.2811163734178206,Nirmala Convent,education,,,,education
12.3114826,76.6440802,2.7643986303093357,Metropole,,,lodging,,lodging
12.3117845,76.6430331,2.646749951963436,"Regaalis, Mysore",,,lodging,,lodging
12.3097363,76.6446,2.8979561686289075,Cafe Coffee Day,cafe,,,,cafe
12.3063337,76.6451531,3.136779696387666,ICICI Bank (Main Branch),financial,,,,financial
12.2978617,76.6431092,3.572094244384979,Government School;Raman IT,education,,,,education
12.299309,76.6429854,3.4463655088768963,,fuel,,,,fuel
12.2951146,76.6418418,3.7153439113398297,Canara Bank,financial,,,,financial
12.2955488,76.6411661,3.632177787972453,Hotel Mahesh Prasad,food service,,,,food service
12.3125141,76.6433728,2.64915003540805,Hotel Guru Residency,,,lodging,,lodging
12.315382,76.6236231,0.7401693387127636,Karnataka State Open University,education,,,,education
12.3136016,76.6163265,0.9936029283265112,Downs,cafe,,,,cafe
12.3080613,76.6598093,4.495234872782916,Hotel Ramanashree,,,lodging,,lodging
12.3078743,76.659847,4.506009925891687,Papa John's,food service,,,,food service
12.2932121,76.6453727,4.121991081707119,ICICI Bank,financial,,,,financial
12.2839716,76.6415174,4.73576611890766,National Institute of Engineering,education,,,,education
12.2814743,76.6412739,4.969769908816155,Golden Jubliee Block,education,,,,education
12.309104,76.6623707,4.723838346069115,Sandesh The Prince,food service,,,,food service
12.3123503,76.6531011,3.6557933084506273,Bombay Tiffanys,,,lodging,,lodging
12.3110043,76.6542796,3.821691218843194,Hotel New Shilpashri Bar and Restaurant,,,lodging,,lodging
12.3128041,76.6538693,3.722772747620447,Chandra Palace,,,lodging,,lodging
12.3187256,76.6482804,3.0051718964859515,Private Bus Stand,transportation,,,,transportation
12.3086026,76.6587377,4.365504780961129,Hotel RRR,,,lodging,,lodging
12.310994,76.6593118,4.346124677629,Pai Vista,food service,,,,food service
12.3110944,76.6550151,3.8949449258047673,RRR Hotel,food service,,,,food service
12.31096,76.6578378,4.193062545645391,Sri Uma Maheswara Lodge,,,lodging,,lodging
12.3060376,76.6507364,3.67888837661785,Kalpana Lodge,,,lodging,,lodging
12.3100755,76.6528438,3.7072153304294457,Indra Cafe's Paras,food service,,,,food service
12.3110232,76.6581937,4.228295122145626,St. Bartholemew's Church,place of worship,,,,place of worship
12.3104659,76.6578166,4.206432750794698,Arun Darshan,food service,,,,food service
12.3048676,76.6530862,3.9653902443814393,Lakshmiramana Temple,place of worship,,,,place of worship
12.3111204,76.6447296,2.8451792379477885,Aravind Service Station,fuel,,,,fuel
12.3100962,76.6566137,4.0939871419935185,Hotel Zameera,food service,,,,food service
12.3103941,76.6578212,4.20923010678532,MRT Yatri Nivas,,,lodging,,lodging
12.313992,76.6563051,3.9493269172501186,,financial,,,,financial
12.3037677,76.6557151,4.275201544987142,Shweta Varahaswamy Temple,place of worship,,,,place of worship
12.3103101,76.6576189,4.19095521500905,Karnataka Tourist Center,,,lodging,,lodging
12.3139028,76.6563078,3.951700498063844,State Bank of India,financial,,,,financial
12.3103309,76.6579416,4.223791122192089,Shreyas Lodge,,,lodging,,lodging
12.3103638,76.6577443,4.2022236100772945,Hotel Iyengar's,food service,,,,food service
12.3104513,76.6579302,4.218715762003,Hotel Santosh,food service,,,,food service
12.3128495,76.6474754,3.055215953318521,Ganesh Petrol Bunk,fuel,,,,fuel
12.3124681,76.647261,3.0466884290103433,Vijaya Petrol Bunk,fuel,,,,fuel
12.3290856,76.6477973,3.058822529899998,Sujatha Residency,,,lodging,,lodging
12.3085469,76.6603582,4.53421996141787,Om Shanti,food service,,,,food service
12.3526693,76.6064393,3.806867131375113,Green Valley,food service,,,,food service
12.2831669,76.640973,4.787209162041654,Old Canteen,cafe,,,,cafe
12.2829056,76.64159,4.844002772003685,,fuel,,,,fuel
12.2837358,76.6408243,4.723611495843727,NIE Library,education,,,,education
12.2914909,76.6435489,4.148196430515672,Sharada Vilas School and College,education,,,,education
12.2959592,76.6386458,3.4340820046773093,Sindoora,food service,,,,food service
12.2978723,76.6432846,3.584215184269507,Vijaya Bank,financial,,,,financial
12.2978723,76.6432846,3.584215184269507,Vijaya Bank,financial,,,,financial
12.2952909,76.6399359,3.5754280597283796,Ram Mandir,place of worship,,,,place of worship
12.2955923,76.6419261,3.679387791984697,Mystore,,grocery,,,grocery
12.2978354,76.6425126,3.5305218854344287,,financial,,,,financial
12.3008834,76.6404911,3.1323773037256712,Jade Garden,food service,,,,food service
12.3008074,76.6403651,3.129208443307253,Jade Garden,,,lodging,,lodging
12.295892,76.641981,3.657192493220562,State Bank of India,financial,,,,financial
12.2988029,76.6454853,3.6800665325767596,The Heritage,bar/club,,,,bar/club
12.2933335,76.6453029,4.106799762501724,Indian Oil,fuel,,,,fuel
12.3118115,76.6426288,2.605416041296573,Reliance Trends,,clothes,,,clothes
12.2911557,76.6468613,4.400996350808945,,fuel,,,,fuel
12.2872351,76.6505842,4.995091644962902,Hindustan Petroleum,fuel,,,,fuel
12.3131217,76.6433369,2.6209891754292287,Ideal Jawa Rotary High School,education,,,,education
12.3163895,76.6458903,2.7872707749363577,Railway Taxi Service,transportation,,,,transportation
12.313106,76.6446565,2.756214112068386,HP,fuel,,,,fuel
12.3166751,76.6458206,2.773636147799748,,financial,,,,financial
12.3164288,76.6455443,2.7495726167077663,,financial,,,,financial
12.3157475,76.6325276,1.425998397534062,Nandi Petrol Bunk,fuel,,,,fuel
12.3228072,76.6349681,1.5517025694611795,Corner House,cafe,,,,cafe
12.3563251,76.6367869,4.254061212007529,Aris Global Software Pvt Ltd.,,,,office,office
12.3564037,76.6277264,3.963035139131581,Costal Garden,food service,,,,food service
12.3102018,76.6560214,4.029157996217994,Domino's,food service,,,,food service
12.3086497,76.6583683,4.325870930354674,Parklane Hotel,food service,,lodging,,food service
12.3085404,76.6596102,4.457421575229867,Josalukas,,jewellery,,,jewellery
12.3139885,76.658886,4.223986411067044,Malabar Gold,,jewellery,,,jewellery
12.2883471,76.6495066,4.825048416415278,Gayatri Tiffin Room,food service,,,,food service
12.2964365,76.6335822,3.1079621322132964,Indian Oil,fuel,,,,fuel
12.2903852,76.6419285,4.147304197996314,Ashokapuram Government School,education,,,,education
12.3178359,76.6251578,0.6225718562093737,Pelican Pub,bar/club,,,,bar/club
12.3214224,76.620769,0.0015441072551439926,DRC,cinema,,,,cinema
12.3214186,76.6210102,0.02772374402739932,Big Bazaar,,grocery,,,grocery
12.3213183,76.6211724,0.04673257152016283,KFC,food service,,,,food service
12.338063,76.618564,1.8658596039851543,Savi Ruchi,food service,,,,food service
12.3381312,76.6167187,1.9092303112581916,Reliance Fresh,,grocery,,,grocery
12.3389696,76.6164558,2.0065330824472225,,fuel,,,,fuel
12.3446084,76.6187893,2.5872590952989243,Cauvery Bar,bar/club,,,,bar/club
12.3491884,76.618387,3.0984013812508993,More Store,,grocery,,,grocery
12.3515413,76.6286062,3.4562135933033624,Royal Inn,,,lodging,,lodging
12.3340367,76.6180987,1.432281359682892,Oyster Bay,food service,,,,food service
12.2867455,76.6259777,3.8971543422926067,Shanti Sagar,food service,,,,food service
12.2855032,76.6337185,4.234816233805627,Iskon,place of worship,,,,place of worship
12.2985955,76.6262273,2.606667790586216,Devaru Fuel Center,fuel,,,,fuel
12.299678,76.6264083,2.494391245209968,State Bank of India (SME Branch),financial,,,,financial
12.300894,76.6261561,2.356604095902927,Dolphin Bakes 'N' Ice Creams,food service,,,,food service
12.2952419,76.6258478,2.9629867939156083,,fuel,,,,fuel
12.2943948,76.6256653,3.052046311881955,Kafe Biryani,food service,,,,food service
12.3251209,76.6317018,1.2583738006521532,HDFC Bank,financial,,,,financial
12.3245733,76.6312404,1.1918056349374035,Axis Bank,financial,,,,financial
12.3233522,76.629961,1.0228960075023121,Pizza Hut,food service,,,,food service
12.3232316,76.6304465,1.071917428498361,Loyal World,,grocery,,,grocery
12.3045108,76.6437878,3.129905794511091,Jal Paan,food service,,,,food service
12.3047676,76.6438602,3.119160820858029,Maharaja,food service,,,,food service
12.310275,76.6583818,4.271352057158176,Ganesh Hotel,,,lodging,,lodging
12.3093689,76.6561671,4.073736224910576,Corporation Bank ATM,financial,,,,financial
12.3118335,76.6539708,3.7625766675811954,Hotel Dasparakash Akshaya,,,lodging,,lodging
12.2971227,76.6413823,3.510144434408802,Lord Shiva temple,place of worship,,,,place of worship
12.29066,76.6448529,4.307289003709029,Madhva Boys' Hostel,,,lodging,,lodging
12.2905185,76.6451185,4.33734230365209,Sankethi Boys' Hostel,,,lodging,,lodging
12.3129767,76.6127515,1.2796131820069219,Ganapathi Temple,place of worship,,,,place of worship
12.3134507,76.6149147,1.0898610949083833,Punjab National Bank,financial,,,,financial
12.2964708,76.6309423,2.9868354972262994,Cafe Coffee Day,cafe,,,,cafe
12.2964727,76.6308603,2.983349627858667,Bombay Tiffanys Sweets and Chats,food service,,,,food service
12.2953564,76.6320028,3.1452151405443556,Canara Bank,financial,,,,financial
12.2888911,76.6271507,3.6831822401138843,Dasthi Institute of Nursing,education,,,,education
12.2863975,76.6299131,4.019412367361978,Reliance Fresh,,grocery,,,grocery
12.2863844,76.6297803,4.0172779751421945,Canara Bank,financial,,,,financial
12.2864459,76.6294896,4.003042670587257,Petrol Bunk,fuel,,,,fuel
12.2866477,76.626633,3.918883314117476,More,,grocery,,,grocery
12.2864669,76.6284274,3.9749842428517552,Euro Kids,education,,,,education
12.2865429,76.6277193,3.9512723810123687,Queen's Fashion Institute,education,,,,education
12.2887417,76.6308216,3.794672705062623,NIIT,education,,,,education
12.2866031,76.626794,3.9266610115671075,Nature Fresh,food service,,,,food service
12.2860854,76.6257844,3.9668393855538615,State Bank of India,financial,,,,financial
12.286818,76.6247206,3.8716122873558256,ShowOff,,clothes,,,clothes
12.2824439,76.6256594,4.366574783218534,Indraprastha Bar and Restaurant,bar/club,,,,bar/club
